Country Code,Debt,Corruption,Foreign_Investment,GDP,Inflation,Ethnicity,Religion,Unemployment,Infant Mortality,Ongoing Conflict,Future Conflict,Freedom score,Covid-19 deaths
UGA,46.34179919,26,4.869111556,2.274615022,2.61601191,0.9302,0.6332,1.741999984,33.8,1,0,34,186
LBR,44.66293589,32,3.956181214,-1.229759965,23.5635149,0.9084,0.4883,2.032999992,53.5,0,0,60,83
MDG,31.75824931,25,4.41794014,1.810248204,7.404191742,0.8791,0.5191,1.659000039,38.2,0,0,61,251
COD,10.94127267,20,2.720115259,2.399910664,2.885851073,0.8747,0.7021,4.15500021,68.2,1,0,18,131
COG,51.12602449,19,38.29248197,-1.549244028,0.450063823,0.8747,0.6642,10.38199997,36.2,0,0,20,93
CMR,28.73682449,25,1.978368628,1.379191982,1.068858113,0.8635,0.7338,3.361000061,50.6,1,0,18,436
TCD,29.29101662,19,5.874210982,-0.415664166,3.669900434,0.862,0.6411,2.229000092,71.4,1,0,17,101
KEN,36.14484245,27,1.849566181,3.896152981,4.689819761,0.8588,0.7765,9.312999725,30.6,1,0,48,1417
NGA,12.41529025,27,0.502803407,-0.66557908,12.09473155,0.8505,0.7421,6.026000023,75.7,1,0,47,1169
CAF,32.65035206,26,0.810612496,2.224742848,37.14221481,0.8295,0.7916,6.482999802,84.5,1,0,10,63
SLE,45.09463761,30,5.331867768,1.259327721,16.03278985,0.8191,0.5395,4.313000202,78.5,0,0,51,74
GNB,28.89267558,16,1.409573186,1.243474147,1.362148999,0.8082,0.6128,4.05700016,54,0,0,46,43
DJI,157.6098688,31,8.965083519,3.82998552,0.14797085,0.7962,0.0435,11.12199974,49.8,0,0,24,61
LBY,73.84,17,0,6.368240933,2.605818027,0.792,0.057,17.28700066,10.2,1,0,9,1125
BEN,35.91103589,40,2.004108084,3.975183596,1.024127367,0.7872,0.5544,2.125,60.5,0,0,66,43
AGO,53.99826311,19,-5.420744964,-5.287779594,20.19037379,0.7867,0.6276,7.252999783,51.6,0,0,32,338
GMB,42.70920582,37,2.018463805,3.453188862,6.521158804,0.7864,0.097,8.904999733,39,0,0,46,123
ZMB,73.65672346,35,1.528582968,0.815169499,7.494571927,0.7808,0.7359,7.209000111,40.4,0,0,54,357
GAB,42.96963607,31,5.018236442,-1.755039188,4.749066521,0.769,0.6674,19.48800087,32.7,0,0,22,59
ZAF,50.55691188,43,1.485433112,-0.572080197,4.504577493,0.7517,0.8603,26.95800018,28.5,0,0,79,21083
GIN,24.63163716,28,3.234189481,3.19829413,9.826042226,0.7389,0.2649,3.607000113,64.9,0,0,40,76
BFA,23.41973751,41,3.398296536,3.812912022,1.864449585,0.7377,0.5798,6.059000015,49,1,0,56,68
TZA,33.06317976,36,1.820636914,2.11505516,3.494458489,0.7353,0.6334,1.932000041,37.6,0,0,40,21
ETH,33.44274428,34,3.983634968,4.048070239,9.848250242,0.7235,0.6249,1.809000015,39.1,0,0,24,1664
SDN,56.90703008,16,2.780280184,-4.629843228,16.90945571,0.7147,0.4307,12.8760004,42.1,1,0,12,61
SEN,52.37077522,45,2.608051769,3.837062008,0.456257585,0.6939,0.1497,6.464000225,31.8,0,0,71,331
MLI,29.46716281,32,2.721292428,1.791676657,1.759857429,0.6906,0.182,9.569000244,62,1,0,41,148
MWI,32.16085903,32,1.444211325,0.801419696,12.42017811,0.6744,0.8192,5.429999828,35.3,0,0,62,185
GHA,36.27805554,41,4.559481728,3.958667147,9.836992686,0.6733,0.7987,6.710000038,34.9,0,0,82,323
NER,36.06149779,34,21.49928314,2.495334702,2.96760366,0.6518,0.2013,0.273000002,48,1,0,48,70
NAM,34.64,53,1.374162199,-2.400819772,4.288574989,0.6329,0.6626,23.09499931,29,0,0,77,145
MRT,97.83604678,27,1.351623447,0.714678742,3.067359961,0.615,0.0149,10.30500031,51.5,0,0,34,169
MAR,42.2367444,43,3.074940382,1.648630514,1.912959405,0.4841,0.0035,9.039999962,19.2,0,0,37,5469
MUS,71.77360123,51,2.61258141,3.717228566,3.216053831,0.4634,0.6385,6.867000103,13.6,0,0,89,10
CPV,89.29505224,57,5.46202519,3.865935847,1.256995667,0.4174,0.0766,12.27600002,16.7,0,0,92,104
BWA,9.715432383,61,1.228610113,2.183074073,3.238015589,0.4102,0.5986,17.94099998,30,0,0,72,31
ZWE,39.80752454,22,2.402015232,4.672029259,0.90973329,0.3874,0.7363,4.914999962,33.9,0,0,29,274
GNQ,13.98,16,2.947239815,-9.497352683,1.060074107,0.3467,0.1195,9.161999702,62.6,0,0,6,85
DZA,3.216267375,35,0.866905291,-0.615183264,4.269990205,0.3394,0.0091,12.14500046,20.1,1,0,34,2329
RWA,58.04334266,56,3.213059963,5.772764955,-0.312727199,0.3238,0.5066,0.971000016,27,1,0,22,47
BDI,19.16165158,17,0.032392796,-1.557407354,-2.814698077,0.2951,0.5158,1.527999997,41,0,0,13,1
LSO,29.22416722,41,1.445358234,0.332073491,4.009998039,0.255,0.7211,23.59600067,65.7,0,0,63,44
SYC,69,66,2.762801333,2.6431477,3.702918391,0.2025,0.2323,3.527800083,12.4,0,0,72,0
EGY,40.35097085,35,2.709343149,3.194431298,29.50193273,0.1836,0.1979,11.43599987,18.1,1,0,21,6573
SWZ,10.86654513,38,0.663696677,1.320645339,4.814942338,0.0582,0.4444,22.47699928,43,0,0,19,120
TUN,90.0340253,43,2.480348174,1.315252125,7.30759176,0.0394,0.0104,15.47799969,14.6,0,0,70,2935
COM,16.46226726,27,0.582358621,1.140509904,-4.294873315,0,0.0137,3.710000038,51.3,0,0,44,7
STP,58.77044532,46,5.607826297,0.741508911,7.868596289,0,0.1866,13.31900024,24.4,0,0,84,17